,macdLine,signalLine
0,0.16895901,0.149057527
1,0.175173741,0.15428077
2,0.175374186,0.158499453
3,0.165794771,0.159958517
4,0.15552264,0.159071342
5,0.138363305,0.154929734
6,0.127331196,0.149410027
7,0.121065797,0.143741181
8,0.115415519,0.138076048
9,0.112664839,0.132993806
10,0.105835505,0.127562146
11,0.093734624,0.120796642
12,0.086296788,0.113896671
13,0.070431853,0.105203707
14,0.056082609,0.095379488
15,0.041887816,0.084681154
16,0.03104702,0.073954327
17,0.02559002,0.064281466
18,0.015797898,0.054584752
19,0.006549962,0.044977794
20,0.003856566,0.036753548
21,0.00840326,0.031083491
22,0.017772856,0.028421364
23,0.024671851,0.027671461
24,0.033944034,0.028925976
25,0.042975584,0.031735897
26,0.045333915,0.034455501
27,0.053764699,0.03831734
28,0.055010872,0.041656047
29,0.058271995,0.044979236
30,0.054977753,0.04697894
31,0.047981093,0.04717937
32,0.042431218,0.04622974
33,0.041348767,0.045253545
34,0.040867089,0.044376254
35,0.038707744,0.043242552
36,0.042637514,0.043121544
37,0.042438474,0.04298493
38,0.03717212,0.041822368
39,0.032742104,0.040006315
40,0.025268534,0.037058759
41,0.015336039,0.032714215
42,0.00949336,0.028070044
43,0.011388773,0.02473379
44,0.011347985,0.022056629
45,0.010708075,0.019786918
46,0.011121728,0.01805388
47,0.014789157,0.017400935
48,0.003334418,0.014587632
49,-0.006276383,0.010414829
50,-0.02095406,0.004141051
51,-0.035485527,-0.003784265
52,-0.042637126,-0.011554837
53,-0.048990805,-0.019042031
54,-0.052612738,-0.025756172
55,-0.055528922,-0.031710722
56,-0.061687996,-0.037706177
57,-0.070796239,-0.044324189
58,-0.075569977,-0.050573347
59,-0.071867692,-0.054832216
60,-0.071538349,-0.058173443
61,-0.073296975,-0.061198149
62,-0.067657186,-0.062489956
63,-0.06322536,-0.062637037
64,-0.063779054,-0.06286544
65,-0.067514523,-0.063795257
66,-0.065483742,-0.064132954
67,-0.059437019,-0.063193767
68,-0.054620504,-0.061479114
69,-0.051101918,-0.059403675
70,-0.046646024,-0.056852145
71,-0.039990881,-0.053479892
72,-0.035677127,-0.049919339
73,-0.034244105,-0.046784292
74,-0.030178413,-0.043463116
75,-0.028204685,-0.04041143
76,-0.024262821,-0.037181708
77,-0.021695688,-0.034084504
78,-0.016405818,-0.030548767
79,-0.013669814,-0.027172976
80,-0.009216593,-0.0235817
81,-0.001434536,-0.019152267
82,0.002365475,-0.014848719
83,0.008426846,-0.010193606
84,0.010287728,-0.006097339
85,0.006203943,-0.003637083
86,0.007680135,-0.001373639
87,0.004321823,-0.000234547
88,0.004592982,0.000730959
89,0.004832859,0.001551339
90,0.002213584,0.001683788
91,0.001372688,0.001621568
92,-0.000338815,0.001229491
93,-0.006701516,-0.00035671
94,-0.007581677,-0.001801703
95,-0.001723323,-0.001786027
96,0.000612691,-0.001306284
97,0.002396032,-0.00056582
98,0.008632029,0.00127375
99,0.021037644,0.005226529
